source_id,category,store_name,main_menu,price,road_address,district,latitude,longitude,image_url_1,image_url_2,image_url_3
25,KOREAN,수원성갈비,돼지갈비(200g),14000.0,서울특별시 종로구 창신3길 9 (창신동),종로구,37.5732182566597,127.011172071825,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/6ad5abc3-31f6-42dc-b8ef-956af33368af.png,,
26,KOREAN,수인인사동닭한마리,삼계탕,13000.0,서울특별시 종로구 인사동10길 23-8 (경운동) 1층,종로구,37.5747847174107,126.986190073207,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/aa6d3067-7ce1-457a-8288-68f343fce941.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/4156ee1d-812c-4304-9638-dcb1a052e64d.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/69c1fa73-ddcc-4758-ac5e-319772a2a408.jpg
27,KOREAN,스윗샐러드,버섯샐러드,8500.0,서울특별시 종로구 종로1길 50 (중학동) 지하1층,종로구,37.5747244659804,126.979022440109,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c4876735-d380-408a-aaf7-fa3209b3f3a8.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/6373274b-c943-485c-98fb-f87d4c93029d.jpeg,
28,ETC,약속커피숍,맥심커피,3000.0,서울특별시 종로구 종로 302 (창신동),종로구,37.5716332944196,127.01140072111,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/bdb7c05e-3d18-4238-b3c3-06d8f6d6e4b2.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1e8d7b64-d65f-4a5f-be62-5717f9ea01e7.jpg,
29,KOREAN,옛촌,돼지갈비김치찜,13000.0,서울특별시 종로구 종로44길 94 (창신동) 1층,종로구,37.5706759746126,127.015468174516,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/e0aa68fc-5df6-4b01-859e-a13d7b0cc49c.jpeg,,
30,JAPANESE,온마츠,숙성등심카츠,11800.0,서울특별시 종로구 평창문화로 45-1 (평창동) 1층 1호,종로구,37.6056144665195,126.96627695748,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/53c0fb67-efdc-4901-8c8a-4360b3b43eeb.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/e3a45bc2-dacd-41d8-8eba-6ff43c3d5ab8.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/73834627-eb11-4080-97fd-a9e52e2ff186.jpg
31,KOREAN,완판생국수,멸치국수,6000.0,서울특별시 종로구 종로 258 (종로6가) 1층,종로구,37.5706294173625,127.006487394713,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f268b4ba-1c70-4bf1-ba7d-f5720ea034b9.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/88ab5a60-2eb9-4f66-80b0-2bfca700a04a.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/98c52a7e-16fb-48c6-8d6b-be9ce3323aae.jpg
32,ETC,왕관커피숍,커피,2000.0,서울특별시 종로구 종로 222 (종로5가),종로구,37.570760396587,127.002357657235,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f0e696ca-10f2-473f-acb2-7fafe89721a6.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/35c1e1b5-b339-4bd2-98bd-5b9d8f14612c.jpg,
33,KOREAN,원준네식당,왕돈가스,9000.0,서울특별시 종로구 지봉로17길 36 (창신동) 1층,종로구,37.580053493927,127.013531156512,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/0b006cb4-4b2a-439a-8cdb-d8e2a9fe7c5f.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/abd22120-5a12-47dc-be21-36454bcebaa9.jpg,
34,ETC,유로시안커피전문점,아메리카노(16oz) 포장,1500.0,서울특별시 종로구 종로40길 4 (종로6가) 1층,종로구,37.5707603280844,127.006557927503,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b9416898-6cfd-420d-b682-660054bb4bc8.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/930077c3-7606-4c68-89b5-e229a8d40512.jpg,
